Feature,Mean_IC,IC_Std,IC_IR
f171,0.06104030710970483,0.05518044637201722,1.106194314490288
f178,0.05176948554352428,0.04929750420297036,1.050143934851891
f176,0.05473249645583213,0.05389485980867922,1.015541862335439
f180,0.04744995442170836,0.04822174845320009,0.9839946933448979
f182,-0.05619359214290462,0.06401045809380464,-0.8778812874880916
f317,0.043054794913998023,0.05210713238734675,0.82627434438725
f179,0.036394165747533826,0.04902394530089993,0.7423751413804374
f284,-0.04832344807342682,0.06831257313326267,-0.707387217068904
f181,0.043649439023627785,0.06461522012199905,0.6755286476766226
f238,-0.03506042076454067,0.05469832005602594,-0.6409779005799496
f235,-0.037453015727127906,0.05888368190595076,-0.6360507385805223
f309,-0.03912015097598106,0.062299217667047095,-0.6279395819327868
f285,0.04415964169537986,0.07046989913129072,0.6266453616834831
f39,-0.036465265799701385,0.05876128248519137,-0.6205660947449567
f298,0.038300379013460936,0.06241063356210426,0.6136834492877578
f30,-0.04029710872479752,0.06955332834517808,-0.5793698718645501
f193,-0.0353073431698139,0.06385319407097008,-0.552945520644059
f255,-0.026717984031647386,0.04928189861233315,-0.5421458864716335
f300,-0.0315718282818612,0.05825284896615734,-0.541979034886566
f259,0.028429682887893253,0.05432665456629459,0.5233099273598996
f210,-0.031393037797929534,0.06089540179244037,-0.5155238608933539
f208,-0.029738534868720332,0.05771986665315701,-0.5152217328429404
f237,0.02824057116986803,0.05616656878585617,0.5028002734070666
f261,0.028381468319400513,0.05782711518052419,0.4907985349574184
f61,0.03779522686701444,0.07706154471734833,0.49045502657768036
f310,0.027869493123042238,0.05706035125821295,0.4884212526612922
f330,-0.028233266767240056,0.05798169654055882,-0.4869340426793162
f260,0.026117867003223362,0.05395435894229429,0.48407325514560556
f192,-0.030276970356370992,0.06406566070978978,-0.4725927321282912
f335,0.035749819844823755,0.07783621617441992,0.4592953898447426
f277,-0.022592432339667637,0.04977911818952176,-0.45385351574765476
f276,0.022225627801417853,0.049771305382033226,0.44655496104169684
f173,-0.022353393768122107,0.05115196653492532,-0.43699960944538974
f281,0.02640706870870046,0.06103704553069555,0.4326399509134306
f282,-0.037616698291705594,0.0869879389367672,-0.43243574255383027
f328,0.02595458679030663,0.06069621805632894,0.42761449304921484
f27,-0.031908923229021696,0.07569261330462107,-0.42155921985430306
f43,0.023333685452214353,0.05651088720717584,0.4129059456739859
f336,0.031163310963715867,0.07575003602069838,0.4113965944680829
f50,-0.030071952329716514,0.07456354280512108,-0.40330632324230065
f201,0.022603438621117144,0.05780925948051852,0.3910002465735085
f325,-0.023189293152160395,0.05977760327643568,-0.38792604590825325
f299,0.021234231599480423,0.05478701581338254,0.3875777391495788
f42,-0.024518560394136694,0.06430534116019548,-0.381283360587781
f324,0.022471782979290054,0.05939767989160164,0.3783275581979727
f318,0.027433171979154992,0.07261752587301883,0.37777613422638645
f239,-0.02677294826254543,0.07100570704993235,-0.3770534173145279
f264,0.024118463451167912,0.06450602541671416,0.3738946797049409
f287,0.024452407284690125,0.06561570017621347,0.37266086458596975
f35,0.02496634654591714,0.06790972393162412,0.36764017616465505
f100,0.018949067913299065,0.05156513516370471,0.36747822299619537
f331,-0.022339225099818446,0.06257264967740882,-0.3570125549239484
f267,0.016677685553287268,0.04674175769804859,0.35680476744108114
f327,0.02234849551750958,0.06287549224212634,0.3554404294290659
f334,-0.027030948381429516,0.07636137638196556,-0.353987134888026
f228,-0.02570073696212409,0.07299920977687183,-0.35206865279766725
f199,-0.019050484810719772,0.055024492417587084,-0.346218211409592
f135,-0.027297782356419446,0.08027975151392301,-0.3400331770004718
f243,0.02113174303290715,0.06243116571743035,0.3384806194993268
f222,-0.022274459934850447,0.06633919737072272,-0.3357661452054184
f321,0.02598021830827622,0.07861705873482255,0.3304653649185037
f206,-0.01936565263851341,0.05977844960761965,-0.3239570367926471
f216,-0.018101258578098457,0.05604284925113558,-0.3229895622738355
f240,0.024043462896823017,0.07452790519987756,0.3226101633507456
f114,0.022816273332008735,0.07077813718138667,0.3223632468583324
f258,0.01810489464187031,0.056481574903825285,0.32054508868153475
f108,0.01748060955399064,0.05481923149734856,0.31887726054794324
f166,-0.022428008668654825,0.0706352471385199,-0.31751861007134413
f283,0.02813106259468693,0.08945408024250197,0.3144748609977046
f33,-0.015988376758750606,0.05106307852313226,-0.31311025676615034
f223,0.01901532706173925,0.06096176278917528,0.31192214713801303
f116,-0.029105331164823344,0.09410554612302376,-0.3092838761483337
f244,-0.017815087157268532,0.05932748282543319,-0.3002838365290123
f54,0.02124239665679235,0.07093817449281149,0.29944939821436994
f124,0.016943174203722898,0.05699071823647238,0.2972970293241448
f46,0.018778768811345218,0.06356537521724653,0.295424447553732
f132,-0.01694068573369249,0.058623811357238605,-0.28897273056391654
f220,0.016883519596477985,0.05850133561901544,0.288600534189937
f314,0.017229277137972454,0.059738021109584545,0.2884138766871434
f117,-0.015815961015488666,0.05559441524959432,-0.28448825479321016
